"elevation","site","area2d","area3d"
400,"All",34.6781212281585,29.5244459215355
400,"Morni",36.8918023736243,31.0030283904514
500,"All",97.3988521934868,93.0564547838539
500,"Morni",98.1368909739682,89.3790483118803
600,"All",51.6414209779616,51.8102942093087
600,"Morni",48.6907003374119,45.1767104299493
700,"All",43.5242995125509,43.6904526823951
700,"Morni",43.5246742601466,40.7723762889114
800,"All",28.7717492172113,28.9499099904492
800,"Morni",28.7702516010399,28.2100716436852
900,"All",22.8675583859749,23.0176693782357
900,"Morni",22.8679950501075,22.3186496779889
1000,"All",33.9280391379838,34.1479383181827
1000,"Chail",3.68037534851217,1.48682487985032
1000,"Morni",26.5539513923216,26.0473139643947
1100,"All",37.5926338224473,37.7708576586345
1100,"Chail",13.2456560401244,9.63499838598486
1100,"Morni",23.6036643232398,23.7603020303706
1200,"All",24.2989265187702,24.4638102656067
1200,"Chail",13.9802470394683,13.3814552775344
1200,"Morni",11.7994588823595,8.16152418558067
1300,"All",16.1937452161989,16.4191786397169
1300,"Chail",9.56408478274155,8.99604547555959
1300,"Morni",5.89863650016689,3.71734277326018
1400,"All",13.9789216504126,13.4516064630946
1400,"Chail",14.7128882346969,15.0208249991933
1500,"All",11.0343356437283,10.5112419490331
1500,"Chail",10.3002484982882,10.6119625135049
1600,"All",15.4473529823041,14.2849574639793
1600,"Chail",13.2398061292844,11.2694221345087
1700,"All",13.2418181158619,13.4579049300636
1700,"Chail",11.033707267746,11.2896610123934
1700,"Churdhar",1.473454734828,0.739691221960713
1800,"All",11.0369707676377,11.1950635352768
1800,"Chail",10.2991164554739,10.5477870339406
1800,"Churdhar",1.47339211558771,1.49495324084038
1900,"All",21.3374050975475,21.7197506941987
1900,"Chail",13.9743337766981,14.2386671208134
1900,"Churdhar",2.94634560006952,3.00378995110762
2000,"All",19.1351994994392,19.3824761448419
2000,"Chail",11.0345883030081,11.1834336822836
2000,"Churdhar",5.15558680709791,3.07083614155267
2100,"All",11.7785982966414,10.4332770132447
2100,"Chail",8.09075179429484,8.12828802284278
2100,"Churdhar",8.83759245545816,5.29157709326699
2200,"All",11.0479009502797,11.3476508520635
2200,"Churdhar",11.7847538525276,9.0846624352028
2300,"All",13.9911094736938,14.3681582289788
2300,"Churdhar",16.2005394274788,14.4885523757781
2400,"All",12.5206034586911,12.8780522274613
2400,"Churdhar",13.9914238956633,14.518904167374
2500,"All",22.090346289247,22.8571771374889
2500,"Churdhar",15.4650052258263,16.052200139726
2600,"All",16.9370168636365,17.4233448371656
2600,"Churdhar",16.9367031902623,17.5235509015377
2700,"All",11.0458942018619,11.4093485254127
2700,"Churdhar",14.7267093512597,15.3145693037453
2800,"All",22.0902847460761,22.7901051978528
2800,"Churdhar",14.727399878654,15.2954983420061
2900,"All",11.0450172514634,11.4408771655126
2900,"Churdhar",14.7279022208366,15.3400076276169
3000,"All",13.9901710424485,14.3567407303771
3000,"Churdhar",11.0444524927969,11.3906214618727
3100,"All",8.09967536874294,8.25129211376291
3100,"Churdhar",10.3084152785048,10.6237140030378
3200,"All",11.780741603354,11.9521495614191
3200,"Churdhar",8.8358385233736,9.00633297853982
3300,"All",5.15464694105673,5.2324083955154
3300,"Churdhar",8.83583853896475,8.97718498532722
3400,"All",2.20911648312664,2.21447480438102
3400,"Churdhar",3.68181899145412,3.72417650856336
